univ_id,univ_name,major_name,year,priority,real_apply,score,지원 결과,최초합격 커트라인,최종 커트라인,이월 전 정원,수시 이월 정원,실제 지원자 수,추가 합격자 수
3,고려대학교,가정교육과,2020,0.0,False,656.25,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,False,654.2214286000002,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,False,554.5964286000002,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,False,673.2928571,최초합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,False,667.5357142999999,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,False,666.3642857000001,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,False,651.4642857000001,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,False,658.3642857000001,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,False,671.4214286,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,False,658.4785714,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,False,661.8071428999998,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,1.0,True,662.45,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,2.0,True,673.9785714,최초합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,False,654.3964286,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,False,667.95,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,False,662.2785713999998,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,1.0,True,665.8642857000001,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,False,672.2071429,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,False,668.65,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,False,672.3357143,최초합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,False,667.0214286,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,False,665.9071428999998,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,True,672.0642857,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,True,649.5642857,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,False,671.8928571,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,True,668.2928571,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,2.0,True,667.6214286000002,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,False,679.7785713999998,최초합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,False,671.1785714,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,True,619.4321428999998,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,False,659.4428571000002,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,False,640.0178571,불합격,672.25,672.25,9.0,9.0,66.0,0.0
3,고려대학교,가정교육과,2020,0.0,False,670.3857142999999,불합격,672.25,672.25,9.0,9.0,66.0,0.0
